customer_id,customer_name,age,gender,city,subscription,discount_applied,item_purchased,category,purchase_amount,payment_method,purchase_date,age_group,purchase_month,purchase_day,purchase_year,discount_flag,revenue_segment
1001,Sara,50,Male,Gurugram,No,Yes,Face Wash,Beauty,2936,Net Banking,2025-07-19,46-60,July,Saturday,2025,1,low
1002,Vikas,24,Female,Delhi,No,No,Keyboard,Electronics,63049,Net Banking,2025-03-23,18-25,March,Sunday,2025,0,premium
1003,Rohan,50,Female,Delhi,Yes,No,Watch,Fashion,17778,Net Banking,2025-03-19,46-60,March,Wednesday,2025,0,medium
1004,Ali,42,Male,Noida,Yes,No,Tea,Groceries,16859,Card,2025-10-30,36-45,October,Thursday,2025,0,medium
1005,Karan,56,Male,Meerut,Yes,Yes,Keyboard,Electronics,55425,Upi,2025-12-04,46-60,December,Thursday,2025,1,premium
1006,Farhan,22,Male,Meerut,Yes,No,Mobile,Electronics,41387,Upi,2025-06-04,18-25,June,Wednesday,2025,0,high
1007,Aman,48,Male,Gurugram,No,No,Watch,Fashion,22068,Card,2025-03-11,46-60,March,Tuesday,2025,0,medium
1008,Sara,37,Male,Delhi,No,Yes,Shampoo,Beauty,3353,Card,2025-07-03,36-45,July,Thursday,2025,1,low
1009,Karan,48,Male,Gurugram,No,Yes,Milk,Groceries,26084,Cash,2025-03-13,46-60,March,Thursday,2025,1,medium
1010,Farhan,21,Female,Noida,Yes,Yes,Watch,Fashion,52833,Net Banking,2025-07-13,18-25,July,Sunday,2025,1,premium
1011,Anjali,28,Female,Noida,Yes,No,Face Wash,Beauty,6893,Upi,2025-07-09,26-35,July,Wednesday,2025,0,low
1012,Ali,51,Male,Noida,Yes,Yes,Football,Sports,11652,Card,2025-09-03,46-60,September,Wednesday,2025,1,medium
1013,Rohan,42,Female,Meerut,Yes,No,Keyboard,Electronics,54499,Upi,2025-10-21,36-45,October,Tuesday,2025,0,premium
1014,Neha,56,Male,Delhi,Yes,No,Shampoo,Beauty,20745,Cash,2025-03-11,46-60,March,Tuesday,2025,0,medium
1015,Neha,24,Female,Meerut,Yes,Yes,Tea,Groceries,33378,Card,2025-04-26,18-25,April,Saturday,2025,1,high
1016,Neha,38,Female,Delhi,Yes,No,T-Shirt,Fashion,61024,Card,2025-09-15,36-45,September,Monday,2025,0,premium
1017,Karan,56,Male,Lucknow,Yes,No,Keyboard,Electronics,66606,Card,2025-12-19,46-60,December,Friday,2025,0,premium
1018,Anjali,55,Female,Lucknow,Yes,No,T-Shirt,Fashion,39428,Cash,2025-07-21,46-60,July,Monday,2025,0,high
1019,Aman,49,Female,Lucknow,No,Yes,Football,Sports,57640,Upi,2025-10-09,46-60,October,Thursday,2025,1,premium
1020,Zoya,42,Male,Gurugram,Yes,Yes,T-Shirt,Fashion,55403,Card,2025-12-04,36-45,December,Thursday,2025,1,premium
1021,Priya,58,Female,Lucknow,Yes,Yes,Football,Sports,68468,Card,2025-03-07,46-60,March,Friday,2025,1,premium
1022,Priya,47,Female,Gurugram,No,No,Rice,Groceries,64021,Cash,2025-04-24,46-60,April,Thursday,2025,0,premium
1023,Aman,20,Male,Lucknow,No,No,Laptop,Electronics,20607,Net Banking,2025-01-28,18-25,January,Tuesday,2025,0,medium
1024,Karan,33,Female,Delhi,No,Yes,Cricket Bat,Sports,59734,Cash,2025-12-08,26-35,December,Monday,2025,1,premium
1025,Anjali,52,Male,Lucknow,No,Yes,Watch,Fashion,5176,Cash,2025-01-04,46-60,January,Saturday,2025,1,low
1026,Rahul,40,Male,Lucknow,Yes,No,Face Wash,Beauty,58029,Card,2025-09-22,36-45,September,Monday,2025,0,premium
1027,Rohan,55,Male,Delhi,No,No,Face Wash,Beauty,24086,Net Banking,2025-12-20,46-60,December,Saturday,2025,0,medium
1028,Aman,43,Female,Delhi,Yes,No,Rice,Groceries,16590,Upi,2025-01-20,36-45,January,Monday,2025,0,medium
1029,Neha,19,Female,Noida,No,No,Mobile,Electronics,245,Upi,2025-07-17,18-25,July,Thursday,2025,0,low
1030,Sara,50,Female,Delhi,No,No,Cricket Bat,Sports,38684,Cash,2025-05-07,46-60,May,Wednesday,2025,0,high
1031,Aman,21,Male,Gurugram,No,No,Face Wash,Beauty,60613,Cash,2025-01-24,18-25,January,Friday,2025,0,premium
1032,Neha,34,Male,Meerut,No,Yes,Keyboard,Electronics,13439,Cash,2025-12-16,26-35,December,Tuesday,2025,1,medium
1033,Vikas,48,Female,Lucknow,No,Yes,Face Wash,Beauty,46610,Net Banking,2025-01-22,46-60,January,Wednesday,2025,1,high
1034,Ali,23,Male,Meerut,Yes,No,Mobile,Electronics,47824,Cash,2025-06-13,18-25,June,Friday,2025,0,high
1035,Sara,35,Male,Lucknow,Yes,No,Shoes,Fashion,15021,Upi,2025-12-20,26-35,December,Saturday,2025,0,medium
1036,Karan,24,Male,Lucknow,No,Yes,Shampoo,Beauty,65196,Cash,2025-07-28,18-25,July,Monday,2025,1,premium
1037,Rohan,22,Male,Lucknow,No,No,Rice,Groceries,26154,Net Banking,2025-12-02,18-25,December,Tuesday,2025,0,medium
